"","Average.Pit.Stop","Hard","Medium","Soft","Super.soft","Ultra.soft","Wet","Intermediate","FirstPosition","SecondPosition","ThirdPosition","Started","Classified","Complete","Full.seasons.laps.led","Driver.s.season.laps.led","Accident","Penalties.due.to.driver","Penalties.due.to.team","No.action","AvgPolPos","Total.Points"
"23",2,3.6,18.7,43.4,19.4,4.6,8.4,1.9,0,0,8,21,17,8,0,0,0,5,2,1,12.05,46
"24",2.47619047619048,5,20.8,41.2,21,2.5,6.4,3.1,73,249,166,21,21,20,6.02,6.02,0,1,0,0,3.9,256
"25",1.95238095238095,5.9,19.9,35.1,22.2,6,7.5,3.3,0,24,28,21,15,5,0,0,1,6,1,0,13.71,25
"26",1.9047619047619,5.3,16.2,39.4,18.1,11,6.7,3.3,0,0,0,21,16,2,0,0,1,4,1,3,13.95,0
"28",2.19047619047619,5.1,31.8,32.6,15.8,6.7,4,4.1,0,13,10,21,18,10,0,0,0,2,0,0,10.33,53
"29",1.95238095238095,3.4,30.2,40.2,13.7,2.2,7.5,2.9,0,0,0,21,17,1,0,0,2,5,0,0,18.71,2
"30",2.1,5.4,18.8,42.8,18.8,3.4,7,3.6,0,0,5,20,17,8,0,0,1,0,4,2,12.15,54
"31",1.85714285714286,4.6,27.6,32.5,21.8,2.1,6.1,5.3,0,6,1,21,15,5,0,0,1,0,2,0,13,21
"32",1.8,9.4,24.9,37,21.9,2.4,2.6,1.9,0,0,0,20,15,3,0,0,2,2,1,0,17.29,1
"33",2,6.1,18.8,33.5,26.5,4.3,3.7,7.1,0,0,0,21,17,3,0,0,2,6,4,4,17.14,7
"34",1.95238095238095,5.6,16.8,45.2,23.8,4.6,3.1,1,7,123,151,21,17,17,0.58,0.67,1,1,3,1,5.33,186
"35",1.85714285714286,5.1,20.7,43.3,11.3,9.6,9.2,0.8,523,185,178,21,19,19,43.12,46.24,1,2,6,2,4.14,380
"36",1.80952380952381,4.1,28.4,39.4,18.1,5.2,2.5,2.3,0,0,0,21,16,0,0,0,1,2,4,1,18.62,0
"37",2.28571428571429,4.8,22,39,20.2,3.7,6.1,4.1,42,156,242,21,18,18,3.46,3.75,1,2,0,1,6.1,204
"38",1.95238095238095,2.8,23.5,41.8,15.2,5,8.9,2.7,0,6,17,21,17,12,0,0,2,2,2,3,8.38,72
"39",1.85714285714286,6.1,21.2,43,11.3,8.5,8.2,1.7,486,305,112,21,20,20,40.07,42.37,1,3,2,3,1.81,385
"40",1.9047619047619,6.8,13.4,45.2,12.2,12.1,10.2,0.1,0,0,0,21,16,1,0,0,3,3,1,1,18.19,1
"41",1.91666666666667,0,20,44,21.1,6.5,2.8,5.6,0,0,0,12,9,0,0,0,2,3,1,0,19.83,0
"42",1.85,4.2,15.5,45.5,21.4,8.9,1.9,2.5,0,1,1,20,16,6,0,0,0,1,4,2,14,29
"43",1.85,2.1,13.5,45.9,22.1,5.3,7.5,3.6,82,131,164,20,17,17,6.76,8.18,2,4,5,0,6.05,212
"44",2,3.3,26.7,47.9,11.3,1.5,7.9,1.5,0,0,90,21,21,14,0,0,0,2,2,0,9.76,101
"46",1.85714285714286,4.6,29,36.3,14.2,6.1,4,5.9,0,14,40,21,19,12,0,0,0,3,2,2,8.29,85
